area,prov,dist,sex,area_name,sexname,rowtotal,a_india,b_saarc,c_asean,d_midleast,e_othrasian,f_eucntry,g_othreuropn,h_northamericn,i_southamericn,j_african,k_pacific,l_other,m_notstd
50,5,50,2,"Gulmi","Female",1468,1440,4,7,2,9,0,2,0,1,0,2,1,0
50,5,51,0,"Arghakhanchi","Total",2098,2076,3,7,5,5,0,1,0,1,0,0,0,0
50,5,51,1,"Arghakhanchi","Male",969,958,1,4,3,2,0,1,0,0,0,0,0,0
50,5,51,2,"Arghakhanchi","Female",1129,1118,2,3,2,3,0,0,0,1,0,0,0,0
50,5,52,0,"Palpa","Total",3105,2961,11,34,61,26,1,6,4,0,0,1,0,0
50,5,52,1,"Palpa","Male",1771,1678,3,20,57,10,0,1,2,0,0,0,0,0
50,5,52,2,"Palpa","Female",1334,1283,8,14,4,16,1,5,2,0,0,1,0,0
50,5,53,0,"Nawalparasi (Bardaghat Susta West)","Total",29722,29456,54,149,27,28,1,3,0,0,0,0,2,2
50,5,53,1,"Nawalparasi (Bardaghat Susta West)","Male",3858,3731,11,75,20,17,1,3,0,0,0,0,0,0
50,5,53,2,"Nawalparasi (Bardaghat Susta West)","Female",25864,25725,43,74,7,11,0,0,0,0,0,0,2,2
50,5,54,0,"Rupandehi","Total",66515,65128,51,905,62,257,16,30,8,3,9,26,4,16
50,5,54,1,"Rupandehi","Male",15474,14792,16,446,31,139,8,13,5,3,4,11,2,4
50,5,54,2,"Rupandehi","Female",51041,50336,35,459,31,118,8,17,3,0,5,15,2,12
50,5,55,0,"Kapilbastu","Total",41224,40995,54,118,30,16,1,4,1,0,0,0,2,3
50,5,55,1,"Kapilbastu","Male",4833,4742,6,58,19,4,0,2,1,0,0,0,0,1
50,5,55,2,"Kapilbastu","Female",36391,36253,48,60,11,12,1,2,0,0,0,0,2,2
50,5,56,0,"Dang","Total",7482,7411,19,20,8,6,3,4,0,0,0,3,2,6
50,5,56,1,"Dang","Male",3683,3652,6,7,5,4,1,2,0,0,0,3,0,3
50,5,56,2,"Dang","Female",3799,3759,13,13,3,2,2,2,0,0,0,0,2,3
50,5,57,0,"Banke","Total",24541,24373,40,65,22,18,1,11,1,1,0,1,4,4
50,5,57,1,"Banke","Male",4223,4162,5,33,5,11,1,4,0,0,0,1,1,0
50,5,57,2,"Banke","Female",20318,20211,35,32,17,7,0,7,1,1,0,0,3,4
50,5,58,0,"Bardiya","Total",7716,7598,18,51,31,13,2,2,0,0,0,0,1,0
50,5,58,1,"Bardiya","Male",1783,1728,2,24,24,4,1,0,0,0,0,0,0,0
50,5,58,2,"Bardiya","Female",5933,5870,16,27,7,9,1,2,0,0,0,0,1,0
50,6,59,0,"Dolpa","Total",17,15,0,0,1,1,0,0,0,0,0,0,0,0
50,6,59,1,"Dolpa","Male",13,11,0,0,1,1,0,0,0,0,0,0,0,0
50,6,59,2,"Dolpa","Female",4,4,0,0,0,0,0,0,0,0,0,0,0,0
50,6,60,0,"Mugu","Total",48,38,1,0,0,0,0,0,9,0,0,0,0,0
50,6,60,1,"Mugu","Male",23,17,1,0,0,0,0,0,5,0,0,0,0,0
