area,prov,dist,sex,area_name,sexname,rowtotal,a_below10,b_10to14,c_15to17,d_18to20,e_21to24,f_25to29,g_30to34,h_35to39,i_40t44,j_45t49,k_50plus,l_notstd
40,7,0,2,"Sudur Paschim","Female",818423,6286,107575,260460,305213,102118,29949,3855,815,272,57,52,1771
50,1,1,0,"Taplejung","Both Sexes",63807,119,3173,11116,19727,15906,9532,2942,831,285,73,34,69
50,1,1,1,"Taplejung","Male",30256,29,830,3017,8103,8860,6500,2052,560,189,61,25,30
50,1,1,2,"Taplejung","Female",33551,90,2343,8099,11624,7046,3032,890,271,96,12,9,39
50,1,2,0,"Sankhuwasabha","Both Sexes",88332,140,4116,16515,27937,21796,12689,3601,1020,325,69,44,80
50,1,2,1,"Sankhuwasabha","Male",41587,21,852,4126,11273,12431,9090,2700,752,230,49,33,30
50,1,2,2,"Sankhuwasabha","Female",46745,119,3264,12389,16664,9365,3599,901,268,95,20,11,50
50,1,3,0,"Solukhumbu","Both Sexes",56006,129,1805,8147,18019,15274,8973,2552,736,234,48,21,68
50,1,3,1,"Solukhumbu","Male",26272,35,487,2103,6974,8235,5889,1774,534,164,32,17,28
50,1,3,2,"Solukhumbu","Female",29734,94,1318,6044,11045,7039,3084,778,202,70,16,4,40
50,1,4,0,"Okhaldhunga","Both Sexes",79135,257,4883,16458,27314,18670,8531,2057,589,212,49,29,86
50,1,4,1,"Okhaldhunga","Male",35890,58,1186,4215,11180,11181,5961,1460,408,149,39,23,30
50,1,4,2,"Okhaldhunga","Female",43245,199,3697,12243,16134,7489,2570,597,181,63,10,6,56
50,1,5,0,"Khotang","Both Sexes",94472,286,5760,17993,29919,23324,12172,3431,1040,334,99,37,77
50,1,5,1,"Khotang","Male",43291,63,1422,4454,11664,13642,8492,2451,730,232,77,29,35
50,1,5,2,"Khotang","Female",51181,223,4338,13539,18255,9682,3680,980,310,102,22,8,42
50,1,6,0,"Bhojpur","Both Sexes",88053,204,3749,15781,27850,22330,12817,3699,1097,316,72,50,88
50,1,6,1,"Bhojpur","Male",40625,50,894,3913,10718,12447,8743,2695,801,228,58,38,40
50,1,6,2,"Bhojpur","Female",47428,154,2855,11868,17132,9883,4074,1004,296,88,14,12,48
50,1,7,0,"Dhankuta","Both Sexes",87709,142,3589,14797,27212,23044,13391,3966,1045,327,79,45,72
50,1,7,1,"Dhankuta","Male",40038,33,832,3740,10510,12273,8830,2751,720,228,57,37,27
50,1,7,2,"Dhankuta","Female",47671,109,2757,11057,16702,10771,4561,1215,325,99,22,8,45
50,1,8,0,"Terhathum","Both Sexes",50506,202,2743,9437,14863,12615,7470,2257,596,186,56,39,42
50,1,8,1,"Terhathum","Male",22942,44,628,2414,5685,6895,5075,1585,406,123,40,32,15
50,1,8,2,"Terhathum","Female",27564,158,2115,7023,9178,5720,2395,672,190,63,16,7,27
50,1,9,0,"Panchthar","Both Sexes",96175,311,4380,16842,29008,24042,15098,4469,1286,468,102,65,104
50,1,9,1,"Panchthar","Male",44476,96,1162,4611,11506,12991,9806,3010,837,303,66,45,43
50,1,9,2,"Panchthar","Female",51699,215,3218,12231,17502,11051,5292,1459,449,165,36,20,61
50,1,10,0,"Ilam","Both Sexes",165578,276,6826,25489,46784,42863,29717,9501,2762,866,217,129,148
50,1,10,1,"Ilam","Male",77343,68,1529,5917,17454,22516,20044,6911,1976,610,168,95,55
50,1,10,2,"Ilam","Female",88235,208,5297,19572,29330,20347,9673,2590,786,256,49,34,93
50,1,11,0,"Jhapa","Both Sexes",570940,2778,32329,96130,158371,139680,98760,32262,7459,2007,512,243,409
50,1,11,1,"Jhapa","Male",248829,478,5374,18333,51712,69466,69229,25994,5873,1592,420,194,164
50,1,11,2,"Jhapa","Female",322111,2300,26955,77797,106659,70214,29531,6268,1586,415,92,49,245
50,1,12,0,"Morang","Both Sexes",653109,1858,36674,122661,203562,150192,99666,29723,6307,1547,310,170,439
50,1,12,1,"Morang","Male",288952,315,5615,23754,73419,81670,72817,24515,5081,1197,255,147,167
50,1,12,2,"Morang","Female",364157,1543,31059,98907,130143,68522,26849,5208,1226,350,55,23,272
50,1,13,0,"Sunsari","Both Sexes",513264,1113,28583,100687,165551,118052,73139,19671,4526,1163,227,152,400
50,1,13,1,"Sunsari","Male",225202,201,4869,20439,60796,65568,52744,15709,3564,889,166,111,146
50,1,13,2,"Sunsari","Female",288062,912,23714,80248,104755,52484,20395,3962,962,274,61,41,254
50,1,14,0,"Udayapur","Both Sexes",187143,587,11878,40953,62134,42225,22074,5262,1300,391,89,70,180
50,1,14,1,"Udayapur","Male",81765,114,2697,10004,24076,23872,15549,3996,969,295,74,53,66
50,1,14,2,"Udayapur","Female",105378,473,9181,30949,38058,18353,6525,1266,331,96,15,17,114
