area,prov,dist,sex,area_name,sexname,rowtotal,a_physical,b_lowvision,c_blind,d_deaf,e_hardhear,f_deafblind,g_speech,h_mental,i_intellect,j_hemophilia,k_autism,l_multiple,m_nodisabl,n_notstd
50,1,8,2,"Terhathum","Female",45150,365,213,83,55,119,27,67,69,24,6,15,113,43990,4
50,1,9,0,"Panchthar","Both Sexes",172400,1638,684,208,328,510,94,337,223,78,43,39,405,167799,14
50,1,9,1,"Panchthar","Male",85683,960,355,94,187,267,59,172,112,35,14,13,225,83183,7
50,1,9,2,"Panchthar","Female",86717,678,329,114,141,243,35,165,111,43,29,26,180,84616,7
50,1,10,0,"Ilam","Both Sexes",279534,2311,885,368,502,773,132,465,368,115,53,35,752,272764,11
50,1,10,1,"Ilam","Male",139431,1342,451,175,276,418,71,264,180,60,27,16,409,135736,6
50,1,10,2,"Ilam","Female",140103,969,434,193,226,355,61,201,188,55,26,19,343,137028,5
50,1,11,0,"Jhapa","Both Sexes",998054,7870,4424,1136,1813,2409,337,1681,1348,479,144,192,2093,974031,97
50,1,11,1,"Jhapa","Male",478509,4512,2205,582,911,1282,171,907,671,233,64,94,1108,465710,59
50,1,11,2,"Jhapa","Female",519545,3358,2219,554,902,1127,166,774,677,246,80,98,985,508321,38
50,1,12,0,"Morang","Both Sexes",1148156,7606,3296,1348,1588,1698,316,1674,1358,615,164,213,2252,1126009,19
50,1,12,1,"Morang","Male",557512,4541,1579,699,793,859,154,921,766,316,71,80,1217,545506,10
50,1,12,2,"Morang","Female",590644,3065,1717,649,795,839,162,753,592,299,93,133,1035,580503,9
50,1,13,0,"Sunsari","Both Sexes",926962,5971,3169,1105,1137,1080,209,1182,679,322,185,160,1464,910284,15
50,1,13,1,"Sunsari","Male",449023,3463,1525,542,574,535,114,644,359,173,104,77,782,440121,10
50,1,13,2,"Sunsari","Female",477939,2508,1644,563,563,545,95,538,320,149,81,83,682,470163,5
50,1,14,0,"Udayapur","Both Sexes",340721,3031,1467,464,810,879,226,777,322,147,86,53,956,331497,6
50,1,14,1,"Udayapur","Male",163738,1770,693,227,435,456,125,420,166,77,38,23,499,158805,4
50,1,14,2,"Udayapur","Female",176983,1261,774,237,375,423,101,357,156,70,48,30,457,172692,2
50,2,15,0,"Saptari","Both Sexes",706255,4548,1499,778,788,357,215,800,462,211,87,72,966,695453,19
50,2,15,1,"Saptari","Male",351368,2851,757,399,403,183,118,514,285,102,49,28,593,345078,8
50,2,15,2,"Saptari","Female",354887,1697,742,379,385,174,97,286,177,109,38,44,373,350375,11
50,2,16,0,"Siraha","Both Sexes",739953,4804,1877,910,686,416,186,758,562,301,136,90,1219,727964,44
50,2,16,1,"Siraha","Male",363724,3019,923,464,367,225,109,472,348,151,52,47,670,356853,24
50,2,16,2,"Siraha","Female",376229,1785,954,446,319,191,77,286,214,150,84,43,549,371111,20
50,2,17,0,"Dhanusa","Both Sexes",867747,4579,2564,1157,840,496,153,910,706,315,103,119,1289,854486,30
50,2,17,1,"Dhanusa","Male",429893,2854,1268,562,423,244,76,574,434,174,58,59,744,422406,17
50,2,17,2,"Dhanusa","Female",437854,1725,1296,595,417,252,77,336,272,141,45,60,545,432080,13
50,2,18,0,"Mahottari","Both Sexes",706994,4127,1807,819,710,410,146,977,538,200,119,87,1105,695912,37
50,2,18,1,"Mahottari","Male",349159,2636,950,421,389,211,85,577,329,120,73,40,635,342672,21
50,2,18,2,"Mahottari","Female",357835,1491,857,398,321,199,61,400,209,80,46,47,470,353240,16
50,2,19,0,"Sarlahi","Both Sexes",862470,4705,2126,981,989,562,181,1153,621,256,123,134,1643,848964,32
50,2,19,1,"Sarlahi","Male",435131,2975,1105,481,529,289,105,688,358,138,54,69,971,427353,16
50,2,19,2,"Sarlahi","Female",427339,1730,1021,500,460,273,76,465,263,118,69,65,672,421611,16
50,2,20,0,"Rautahat","Both Sexes",813573,4442,1437,1072,658,306,172,811,353,193,134,111,1158,802716,10
50,2,20,1,"Rautahat","Male",408403,2674,715,551,337,166,102,498,201,100,60,44,610,402338,7
50,2,20,2,"Rautahat","Female",405170,1768,722,521,321,140,70,313,152,93,74,67,548,400378,3
50,2,21,0,"Bara","Both Sexes",763137,3915,2240,909,677,295,166,550,322,143,149,99,1266,752391,15
50,2,21,1,"Bara","Male",389787,2381,1086,482,321,142,98,350,172,79,70,37,662,383895,12
50,2,21,2,"Bara","Female",373350,1534,1154,427,356,153,68,200,150,64,79,62,604,368496,3
50,2,22,0,"Parsa","Both Sexes",654471,3366,2268,703,572,374,143,403,341,144,129,68,833,645067,60
50,2,22,1,"Parsa","Male",338286,2065,1111,390,288,189,75,235,195,78,59,27,463,333080,31
50,2,22,2,"Parsa","Female",316185,1301,1157,313,284,185,68,168,146,66,70,41,370,311987,29
50,3,23,0,"Dolakha","Both Sexes",172767,2151,1006,242,428,481,92,317,189,67,32,33,562,167163,4
50,3,23,1,"Dolakha","Male",83720,1250,464,118,240,250,41,165,91,34,15,12,268,80769,3
50,3,23,2,"Dolakha","Female",89047,901,542,124,188,231,51,152,98,33,17,21,294,86394,1
50,3,24,0,"Sindhupalchok","Both Sexes",262624,3096,1238,361,731,805,183,523,298,118,69,54,750,254385,13
50,3,24,1,"Sindhupalchok","Male",129205,1780,610,171,402,422,99,270,155,54,30,19,404,124779,10
50,3,24,2,"Sindhupalchok","Female",133419,1316,628,190,329,383,84,253,143,64,39,35,346,129606,3
50,3,25,0,"Rasuwa","Both Sexes",46689,477,183,77,96,95,21,100,45,25,18,17,139,45396,0
50,3,25,1,"Rasuwa","Male",24035,282,105,33,64,52,13,50,22,12,10,3,72,23317,0
50,3,25,2,"Rasuwa","Female",22654,195,78,44,32,43,8,50,23,13,8,14,67,22079,0
50,3,26,0,"Dhading","Both Sexes",325710,2775,2077,435,827,793,177,501,399,154,49,70,760,316639,54
50,3,26,1,"Dhading","Male",159048,1627,952,216,466,395,95,294,198,66,15,33,430,154233,28
50,3,26,2,"Dhading","Female",166662,1148,1125,219,361,398,82,207,201,88,34,37,330,162406,26
50,3,27,0,"Nuwakot","Both Sexes",263391,2381,1508,395,523,514,89,409,260,123,39,65,633,256448,4
50,3,27,1,"Nuwakot","Male",128998,1387,713,201,284,263,46,232,129,69,21,27,343,125283,0
50,3,27,2,"Nuwakot","Female",134393,994,795,194,239,251,43,177,131,54,18,38,290,131165,4
50,3,28,0,"Kathmandu","Both Sexes",2041587,10903,6037,1346,1913,2580,323,1653,1585,729,413,495,2710,2010874,26
50,3,28,1,"Kathmandu","Male",1035726,6082,2955,720,953,1252,167,932,785,388,232,311,1429,1019501,19
50,3,28,2,"Kathmandu","Female",1005861,4821,3082,626,960,1328,156,721,800,341,181,184,1281,991373,7
50,3,29,0,"Bhaktapur","Both Sexes",432132,2271,739,428,371,544,51,297,304,129,133,78,625,426130,32
50,3,29,1,"Bhaktapur","Male",218418,1310,362,230,183,255,27,163,178,80,53,35,341,215180,21
50,3,29,2,"Bhaktapur","Female",213714,961,377,198,188,289,24,134,126,49,80,43,284,210950,11
50,3,30,0,"Lalitpur","Both Sexes",551667,2868,1228,630,646,555,94,404,413,150,135,83,748,543662,51
50,3,30,1,"Lalitpur","Male",277131,1650,614,331,341,295,47,228,198,73,61,43,333,272895,22
50,3,30,2,"Lalitpur","Female",274536,1218,614,299,305,260,47,176,215,77,74,40,415,270767,29
