area,prov,dist,sex,area_name,sexname,rowtotal,a_govt,b_financl,c_nfinancl,d_nprofit,e_hhldsectr,f_notstd
50,3,24,0,"Sindhupalchok","Both Sexes",160831,6883,1217,30590,452,121655,34
50,3,24,1,"Sindhupalchok","Male",80931,4552,724,18014,364,57252,25
50,3,24,2,"Sindhupalchok","Female",79900,2331,493,12576,88,64403,9
50,3,25,0,"Rasuwa","Both Sexes",27479,2176,292,5795,168,19048,0
50,3,25,1,"Rasuwa","Male",14744,1709,182,3508,142,9203,0
50,3,25,2,"Rasuwa","Female",12735,467,110,2287,26,9845,0
50,3,26,0,"Dhading","Both Sexes",193244,7115,1614,42395,402,141696,22
50,3,26,1,"Dhading","Male",96414,4567,842,24992,308,65693,12
50,3,26,2,"Dhading","Female",96830,2548,772,17403,94,76003,10
50,3,27,0,"Nuwakot","Both Sexes",158302,7678,1326,31018,430,117834,16
50,3,27,1,"Nuwakot","Male",80060,5414,753,17969,342,55573,9
50,3,27,2,"Nuwakot","Female",78242,2264,573,13049,88,62261,7
50,3,28,0,"Kathmandu","Both Sexes",935500,76460,47834,651053,17105,142916,132
50,3,28,1,"Kathmandu","Male",549080,55104,26783,376139,11229,79741,84
50,3,28,2,"Kathmandu","Female",386420,21356,21051,274914,5876,63175,48
50,3,29,0,"Bhaktapur","Both Sexes",223943,20557,9310,132877,1064,60081,54
50,3,29,1,"Bhaktapur","Male",125728,14629,4605,76836,655,28970,33
50,3,29,2,"Bhaktapur","Female",98215,5928,4705,56041,409,31111,21
50,3,30,0,"Lalitpur","Both Sexes",276842,19964,11542,174340,3028,67863,105
50,3,30,1,"Lalitpur","Male",156549,13608,6081,100016,1710,35059,75
50,3,30,2,"Lalitpur","Female",120293,6356,5461,74324,1318,32804,30
50,3,31,0,"Kavrepalanchok","Both Sexes",223354,11386,3552,55220,614,152538,44
50,3,31,1,"Kavrepalanchok","Male",113578,8313,1748,32395,441,70654,27
50,3,31,2,"Kavrepalanchok","Female",109776,3073,1804,22825,173,81884,17
50,3,32,0,"Ramechhap","Both Sexes",103798,4692,637,18636,301,79513,19
50,3,32,1,"Ramechhap","Male",49936,3173,371,10182,229,35968,13
50,3,32,2,"Ramechhap","Female",53862,1519,266,8454,72,43545,6
50,3,33,0,"Sindhuli","Both Sexes",194451,7606,969,29859,354,155639,24
50,3,33,1,"Sindhuli","Male",97056,5283,570,17725,258,73205,15
50,3,33,2,"Sindhuli","Female",97395,2323,399,12134,96,82434,9
50,3,34,0,"Makwanpur","Both Sexes",260487,13543,2934,81739,1124,161077,70
50,3,34,1,"Makwanpur","Male",140081,9833,1656,50012,879,77656,45
50,3,34,2,"Makwanpur","Female",120406,3710,1278,31727,245,83421,25
50,3,35,0,"Chitawan","Both Sexes",377584,17263,5641,157863,1167,195503,147
50,3,35,1,"Chitawan","Male",198943,12079,2983,91228,767,91790,96
50,3,35,2,"Chitawan","Female",178641,5184,2658,66635,400,103713,51
50,4,36,0,"Gorkha","Both Sexes",143901,6404,1196,28361,453,107148,339
50,4,36,1,"Gorkha","Male",68420,4219,644,14590,334,48454,179
50,4,36,2,"Gorkha","Female",75481,2185,552,13771,119,58694,160
50,4,37,0,"Manang","Both Sexes",4306,1268,83,873,18,2062,2
50,4,37,1,"Manang","Male",2569,990,57,517,15,989,1
50,4,37,2,"Manang","Female",1737,278,26,356,3,1073,1
50,4,38,0,"Mustang","Both Sexes",9488,1773,144,2092,96,5326,57
50,4,38,1,"Mustang","Male",5407,1416,84,1240,61,2572,34
50,4,38,2,"Mustang","Female",4081,357,60,852,35,2754,23
50,4,39,0,"Myagdi","Both Sexes",65633,3314,1013,12503,335,48300,168
50,4,39,1,"Myagdi","Male",32317,2010,635,7244,294,22043,91
50,4,39,2,"Myagdi","Female",33316,1304,378,5259,41,26257,77
50,4,40,0,"Kaski","Both Sexes",283737,18228,6982,150839,2329,103006,2353
50,4,40,1,"Kaski","Male",150617,12816,3762,83233,1547,47885,1374
50,4,40,2,"Kaski","Female",133120,5412,3220,67606,782,55121,979
50,4,41,0,"Lamjung","Both Sexes",86245,4965,1001,19974,254,59824,227
50,4,41,1,"Lamjung","Male",41931,3299,484,10234,178,27621,115
50,4,41,2,"Lamjung","Female",44314,1666,517,9740,76,32203,112
50,4,42,0,"Tanahu","Both Sexes",180836,8588,2246,51057,725,117432,788
50,4,42,1,"Tanahu","Male",85557,5682,1099,27434,517,50409,416
50,4,42,2,"Tanahu","Female",95279,2906,1147,23623,208,67023,372
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",198883,7178,2688,70525,1096,116592,804
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",96708,4615,1379,39517,813,49948,436
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",102175,2563,1309,31008,283,66644,368
50,4,44,0,"Syangja","Both Sexes",144315,6732,1787,32425,530,102375,466
50,4,44,1,"Syangja","Male",65772,4042,942,17178,393,42993,224
50,4,44,2,"Syangja","Female",78543,2690,845,15247,137,59382,242
50,4,45,0,"Parbat","Both Sexes",71184,4640,879,16506,346,48545,268
50,4,45,1,"Parbat","Male",33547,2949,441,8746,280,20974,157
