area,prov,dist,sex,area_name,sexname,rowtotal,a_employee,b_employer,c_ownaccount,d_familysupp,e_notstd
50,1,8,2,"Terhathum","Female",32608,2336,112,22592,7565,3
50,1,9,0,"Panchthar","Both Sexes",106892,13539,754,75642,16944,13
50,1,9,1,"Panchthar","Male",54893,8614,517,38660,7099,3
50,1,9,2,"Panchthar","Female",51999,4925,237,36982,9845,10
50,1,10,0,"Ilam","Both Sexes",180232,26076,1641,128053,24441,21
50,1,10,1,"Ilam","Male",93722,16677,1038,66153,9844,10
50,1,10,2,"Ilam","Female",86510,9399,603,61900,14597,11
50,1,11,0,"Jhapa","Both Sexes",580065,185887,9858,294369,89816,135
50,1,11,1,"Jhapa","Male",296112,110919,7536,142435,35142,80
50,1,11,2,"Jhapa","Female",283953,74968,2322,151934,54674,55
50,1,12,0,"Morang","Both Sexes",602925,233169,8276,273477,87884,119
50,1,12,1,"Morang","Male",325383,144889,6683,140677,33054,80
50,1,12,2,"Morang","Female",277542,88280,1593,132800,54830,39
50,1,13,0,"Sunsari","Both Sexes",434489,187058,7529,187471,52325,106
50,1,13,1,"Sunsari","Male",239102,115280,5889,98445,19423,65
50,1,13,2,"Sunsari","Female",195387,71778,1640,89026,32902,41
50,1,14,0,"Udayapur","Both Sexes",189990,37781,1615,126018,24556,20
50,1,14,1,"Udayapur","Male",94808,24664,1081,59007,10044,12
50,1,14,2,"Udayapur","Female",95182,13117,534,67011,14512,8
50,2,15,0,"Saptari","Both Sexes",323743,108542,2884,166892,45377,48
50,2,15,1,"Saptari","Male",178222,69640,2311,88001,18242,28
50,2,15,2,"Saptari","Female",145521,38902,573,78891,27135,20
50,2,16,0,"Siraha","Both Sexes",325642,97792,3185,181037,43523,105
50,2,16,1,"Siraha","Male",171406,57020,2462,94258,17608,58
50,2,16,2,"Siraha","Female",154236,40772,723,86779,25915,47
50,2,17,0,"Dhanusa","Both Sexes",363905,117673,4414,183397,58345,76
50,2,17,1,"Dhanusa","Male",202482,73386,3623,101223,24199,51
50,2,17,2,"Dhanusa","Female",161423,44287,791,82174,34146,25
50,2,18,0,"Mahottari","Both Sexes",264996,95292,2616,123069,43951,68
50,2,18,1,"Mahottari","Male",158551,60639,2178,78188,17492,54
50,2,18,2,"Mahottari","Female",106445,34653,438,44881,26459,14
50,2,19,0,"Sarlahi","Both Sexes",339564,127157,3017,156383,52950,57
50,2,19,1,"Sarlahi","Male",210548,84662,2551,102248,21049,38
50,2,19,2,"Sarlahi","Female",129016,42495,466,54135,31901,19
50,2,20,0,"Rautahat","Both Sexes",340796,122061,3561,172690,42414,70
50,2,20,1,"Rautahat","Male",203434,81386,2963,103037,15999,49
50,2,20,2,"Rautahat","Female",137362,40675,598,69653,26415,21
50,2,21,0,"Bara","Both Sexes",319827,124518,3303,152468,39460,78
50,2,21,1,"Bara","Male",200361,87028,2705,95502,15067,59
50,2,21,2,"Bara","Female",119466,37490,598,56966,24393,19
50,2,22,0,"Parsa","Both Sexes",271820,118950,3880,113384,35500,106
50,2,22,1,"Parsa","Male",177878,86860,3433,73781,13724,80
50,2,22,2,"Parsa","Female",93942,32090,447,39603,21776,26
50,3,23,0,"Dolakha","Both Sexes",110854,17287,1070,78857,13626,14
50,3,23,1,"Dolakha","Male",54142,11749,792,35487,6106,8
50,3,23,2,"Dolakha","Female",56712,5538,278,43370,7520,6
50,3,24,0,"Sindhupalchok","Both Sexes",160831,25305,1160,117726,16611,29
50,3,24,1,"Sindhupalchok","Male",80931,17328,779,55880,6923,21
50,3,24,2,"Sindhupalchok","Female",79900,7977,381,61846,9688,8
50,3,25,0,"Rasuwa","Both Sexes",27479,6154,473,17491,3358,3
50,3,25,1,"Rasuwa","Male",14744,4677,307,8331,1427,2
50,3,25,2,"Rasuwa","Female",12735,1477,166,9160,1931,1
50,3,26,0,"Dhading","Both Sexes",193244,32744,1784,136728,21953,35
50,3,26,1,"Dhading","Male",96414,21792,1229,64417,8958,18
50,3,26,2,"Dhading","Female",96830,10952,555,72311,12995,17
50,3,27,0,"Nuwakot","Both Sexes",158302,28626,1211,109769,18677,19
50,3,27,1,"Nuwakot","Male",80060,19397,861,52416,7378,8
50,3,27,2,"Nuwakot","Female",78242,9229,350,57353,11299,11
50,3,28,0,"Kathmandu","Both Sexes",935500,512600,32395,282516,107862,127
50,3,28,1,"Kathmandu","Male",549080,305624,25730,174029,43610,87
50,3,28,2,"Kathmandu","Female",386420,206976,6665,108487,64252,40
50,3,29,0,"Bhaktapur","Both Sexes",223943,113031,6521,82553,21778,60
50,3,29,1,"Bhaktapur","Male",125728,67565,5182,44447,8500,34
50,3,29,2,"Bhaktapur","Female",98215,45466,1339,38106,13278,26
50,3,30,0,"Lalitpur","Both Sexes",276842,142491,8490,97571,28194,96
50,3,30,1,"Lalitpur","Male",156549,83589,6449,55172,11281,58
50,3,30,2,"Lalitpur","Female",120293,58902,2041,42399,16913,38
50,3,31,0,"Kavrepalanchok","Both Sexes",223354,49006,2666,148129,23504,49
50,3,31,1,"Kavrepalanchok","Male",113578,31721,1991,70355,9486,25
50,3,31,2,"Kavrepalanchok","Female",109776,17285,675,77774,14018,24
50,3,32,0,"Ramechhap","Both Sexes",103798,15463,901,73415,14001,18
50,3,32,1,"Ramechhap","Male",49936,10357,568,33373,5629,9
50,3,32,2,"Ramechhap","Female",53862,5106,333,40042,8372,9
50,3,33,0,"Sindhuli","Both Sexes",194451,31477,1523,127552,33874,25
50,3,33,1,"Sindhuli","Male",97056,21698,1047,60114,14185,12
50,3,33,2,"Sindhuli","Female",97395,9779,476,67438,19689,13
50,3,34,0,"Makwanpur","Both Sexes",260487,68314,2872,160155,29105,41
50,3,34,1,"Makwanpur","Male",140081,47588,2168,78817,11479,29
50,3,34,2,"Makwanpur","Female",120406,20726,704,81338,17626,12
50,3,35,0,"Chitawan","Both Sexes",377584,126256,9236,196915,45046,131
50,3,35,1,"Chitawan","Male",198943,78991,7055,95194,17629,74
50,3,35,2,"Chitawan","Female",178641,47265,2181,101721,27417,57
50,4,36,0,"Gorkha","Both Sexes",143901,21860,1586,102790,17359,306
50,4,36,1,"Gorkha","Male",68420,13338,1064,46896,6962,160
50,4,36,2,"Gorkha","Female",75481,8522,522,55894,10397,146
50,4,37,0,"Manang","Both Sexes",4306,2003,68,1867,360,8
50,4,37,1,"Manang","Male",2569,1489,36,858,183,3
50,4,37,2,"Manang","Female",1737,514,32,1009,177,5
50,4,38,0,"Mustang","Both Sexes",9488,3602,207,4804,821,54
50,4,38,1,"Mustang","Male",5407,2534,140,2359,342,32
50,4,38,2,"Mustang","Female",4081,1068,67,2445,479,22
50,4,39,0,"Myagdi","Both Sexes",65633,11779,876,44029,8796,153
50,4,39,1,"Myagdi","Male",32317,7770,576,20080,3809,82
50,4,39,2,"Myagdi","Female",33316,4009,300,23949,4987,71
50,4,40,0,"Kaski","Both Sexes",283737,117967,9347,117977,36533,1913
50,4,40,1,"Kaski","Male",150617,70493,6930,57121,14980,1093
50,4,40,2,"Kaski","Female",133120,47474,2417,60856,21553,820
50,4,41,0,"Lamjung","Both Sexes",86245,18103,1217,55452,11271,202
50,4,41,1,"Lamjung","Male",41931,10750,770,25331,4983,97
50,4,41,2,"Lamjung","Female",44314,7353,447,30121,6288,105
50,4,42,0,"Tanahu","Both Sexes",180836,41723,2859,109495,26139,620
50,4,42,1,"Tanahu","Male",85557,25758,2020,47081,10393,305
50,4,42,2,"Tanahu","Female",95279,15965,839,62414,15746,315
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",198883,56373,3770,110578,27479,683
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",96708,35120,2781,47488,10979,340
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",102175,21253,989,63090,16500,343
50,4,44,0,"Syangja","Both Sexes",144315,26180,1512,94326,21886,411
50,4,44,1,"Syangja","Male",65772,15527,1022,39650,9388,185
50,4,44,2,"Syangja","Female",78543,10653,490,54676,12498,226
50,4,45,0,"Parbat","Both Sexes",71184,15999,807,45364,8808,206
50,4,45,1,"Parbat","Male",33547,9681,528,19664,3563,111
50,4,45,2,"Parbat","Female",37637,6318,279,25700,5245,95
50,4,46,0,"Baglung","Both Sexes",131652,26331,1481,85979,17566,295
50,4,46,1,"Baglung","Male",60690,15258,941,36994,7357,140
50,4,46,2,"Baglung","Female",70962,11073,540,48985,10209,155
50,5,47,0,"Rukum (East)","Both Sexes",34591,3213,320,26000,4677,381
50,5,47,1,"Rukum (East)","Male",16789,2074,199,12313,2050,153
50,5,47,2,"Rukum (East)","Female",17802,1139,121,13687,2627,228
50,5,48,0,"Rolpa","Both Sexes",122619,17644,1158,87448,16180,189
50,5,48,1,"Rolpa","Male",57412,11511,646,38194,6977,84
50,5,48,2,"Rolpa","Female",65207,6133,512,49254,9203,105
50,5,49,0,"Pyuthan","Both Sexes",117609,19992,1029,77806,18704,78
50,5,49,1,"Pyuthan","Male",51105,12596,687,30419,7361,42
50,5,49,2,"Pyuthan","Female",66504,7396,342,47387,11343,36
50,5,50,0,"Gulmi","Both Sexes",152504,24308,1075,100837,26212,72
50,5,50,1,"Gulmi","Male",66858,14574,728,40777,10746,33
50,5,50,2,"Gulmi","Female",85646,9734,347,60060,15466,39
50,5,51,0,"Arghakhanchi","Both Sexes",95630,16103,968,62927,15561,71
50,5,51,1,"Arghakhanchi","Male",42481,9765,685,25845,6146,40
