area,prov,dist,agegrp,area_name,agegrpname,rowtotal,a_male,b_female
50,2,17,14,"Dhanusa","65-69 Yrs.",24209,13054,11155
50,2,17,15,"Dhanusa","70-74 Yrs.",19379,10316,9063
50,2,17,16,"Dhanusa","75-79 Yrs.",8132,4504,3628
50,2,17,17,"Dhanusa","80-84 Yrs.",2992,1547,1445
50,2,17,18,"Dhanusa","85-89 Yrs.",1201,612,589
50,2,17,19,"Dhanusa","90-94 Yrs.",631,305,326
50,2,17,20,"Dhanusa","95+ Yrs.",687,310,377
50,2,18,0,"Mahottari","All Ages",706994,349159,357835
50,2,18,1,"Mahottari","00-04 Yrs.",75330,40219,35111
50,2,18,2,"Mahottari","05-09 Yrs.",83110,42744,40366
50,2,18,3,"Mahottari","10-14 Yrs.",82076,41931,40145
50,2,18,4,"Mahottari","15-19 Yrs.",73422,37865,35557
50,2,18,5,"Mahottari","20-24 Yrs.",63613,29689,33924
50,2,18,6,"Mahottari","25-29 Yrs.",54326,24016,30310
50,2,18,7,"Mahottari","30-34 Yrs.",45022,19666,25356
50,2,18,8,"Mahottari","35-39 Yrs.",45653,19543,26110
50,2,18,9,"Mahottari","40-44 Yrs.",36088,17343,18745
50,2,18,10,"Mahottari","45-49 Yrs.",30967,15014,15953
50,2,18,11,"Mahottari","50-54 Yrs.",28257,14231,14026
50,2,18,12,"Mahottari","55-59 Yrs.",22652,11844,10808
50,2,18,13,"Mahottari","60-64 Yrs.",21133,10852,10281
50,2,18,14,"Mahottari","65-69 Yrs.",19336,10310,9026
50,2,18,15,"Mahottari","70-74 Yrs.",15176,7971,7205
50,2,18,16,"Mahottari","75-79 Yrs.",6493,3659,2834
50,2,18,17,"Mahottari","80-84 Yrs.",2332,1252,1080
50,2,18,18,"Mahottari","85-89 Yrs.",957,511,446
50,2,18,19,"Mahottari","90-94 Yrs.",460,232,228
50,2,18,20,"Mahottari","95+ Yrs.",591,267,324
50,2,19,0,"Sarlahi","All Ages",862470,435131,427339
50,2,19,1,"Sarlahi","00-04 Yrs.",87060,45982,41078
50,2,19,2,"Sarlahi","05-09 Yrs.",97841,50713,47128
50,2,19,3,"Sarlahi","10-14 Yrs.",99039,50581,48458
50,2,19,4,"Sarlahi","15-19 Yrs.",91346,47547,43799
50,2,19,5,"Sarlahi","20-24 Yrs.",81782,40053,41729
50,2,19,6,"Sarlahi","25-29 Yrs.",68197,32558,35639
50,2,19,7,"Sarlahi","30-34 Yrs.",56400,26415,29985
50,2,19,8,"Sarlahi","35-39 Yrs.",56341,26097,30244
50,2,19,9,"Sarlahi","40-44 Yrs.",46801,23816,22985
50,2,19,10,"Sarlahi","45-49 Yrs.",38248,19091,19157
50,2,19,11,"Sarlahi","50-54 Yrs.",35021,18487,16534
50,2,19,12,"Sarlahi","55-59 Yrs.",26825,13990,12835
50,2,19,13,"Sarlahi","60-64 Yrs.",24455,12482,11973
50,2,19,14,"Sarlahi","65-69 Yrs.",20430,10665,9765
50,2,19,15,"Sarlahi","70-74 Yrs.",17745,8945,8800
50,2,19,16,"Sarlahi","75-79 Yrs.",9066,4730,4336
50,2,19,17,"Sarlahi","80-84 Yrs.",3257,1723,1534
50,2,19,18,"Sarlahi","85-89 Yrs.",1364,711,653
50,2,19,19,"Sarlahi","90-94 Yrs.",621,290,331
50,2,19,20,"Sarlahi","95+ Yrs.",631,255,376
50,2,20,0,"Rautahat","All Ages",813573,408403,405170
50,2,20,1,"Rautahat","00-04 Yrs.",97373,50068,47305
50,2,20,2,"Rautahat","05-09 Yrs.",104136,53073,51063
50,2,20,3,"Rautahat","10-14 Yrs.",97413,49547,47866
50,2,20,4,"Rautahat","15-19 Yrs.",85971,44172,41799
50,2,20,5,"Rautahat","20-24 Yrs.",75268,36893,38375
50,2,20,6,"Rautahat","25-29 Yrs.",60380,28954,31426
50,2,20,7,"Rautahat","30-34 Yrs.",49547,22971,26576
50,2,20,8,"Rautahat","35-39 Yrs.",49676,23207,26469
50,2,20,9,"Rautahat","40-44 Yrs.",41288,21092,20196
50,2,20,10,"Rautahat","45-49 Yrs.",33797,16876,16921
50,2,20,11,"Rautahat","50-54 Yrs.",30221,16085,14136
50,2,20,12,"Rautahat","55-59 Yrs.",22247,11988,10259
50,2,20,13,"Rautahat","60-64 Yrs.",19005,9500,9505
50,2,20,14,"Rautahat","65-69 Yrs.",17814,9033,8781
50,2,20,15,"Rautahat","70-74 Yrs.",15925,7923,8002
50,2,20,16,"Rautahat","75-79 Yrs.",8437,4491,3946
50,2,20,17,"Rautahat","80-84 Yrs.",2860,1515,1345
50,2,20,18,"Rautahat","85-89 Yrs.",1128,552,576
50,2,20,19,"Rautahat","90-94 Yrs.",494,239,255
50,2,20,20,"Rautahat","95+ Yrs.",593,224,369
