area,prov,dist,sex,area_name,sexname,rowtotal,a_below14,b_15to19,c_20to29,d_30to39,e_40t049,f_50to59,g_60to69,h_70plus
50,1,8,1,"Terhathum","Male",15925,3,70,1257,3017,3298,3817,2836,1627
50,1,8,2,"Terhathum","Female",5932,2,69,858,1448,1157,996,812,590
50,1,9,0,"Panchthar","Both Sexes",42495,30,330,5126,9184,8718,9248,6494,3365
50,1,9,1,"Panchthar","Male",31386,16,193,3275,6375,6507,7342,5164,2514
50,1,9,2,"Panchthar","Female",11109,14,137,1851,2809,2211,1906,1330,851
50,1,10,0,"Ilam","Both Sexes",70532,23,381,6255,15433,16052,15519,11128,5741
50,1,10,1,"Ilam","Male",54580,10,228,4128,11320,12515,12700,9096,4583
50,1,10,2,"Ilam","Female",15952,13,153,2127,4113,3537,2819,2032,1158
50,1,11,0,"Jhapa","Both Sexes",245142,156,1741,23808,56376,60084,50197,33000,19780
50,1,11,1,"Jhapa","Male",157750,67,781,10373,29866,40302,37284,24547,14530
50,1,11,2,"Jhapa","Female",87392,89,960,13435,26510,19782,12913,8453,5250
50,1,12,0,"Morang","Both Sexes",272283,130,1745,27421,61898,66335,55134,38150,21470
50,1,12,1,"Morang","Male",191947,72,973,14968,38446,48796,43334,29409,15949
50,1,12,2,"Morang","Female",80336,58,772,12453,23452,17539,11800,8741,5521
50,1,13,0,"Sunsari","Both Sexes",212545,100,1343,25573,53553,51870,41138,26038,12930
50,1,13,1,"Sunsari","Male",140805,56,695,12955,30697,36019,31255,19778,9350
50,1,13,2,"Sunsari","Female",71740,44,648,12618,22856,15851,9883,6260,3580
50,1,14,0,"Udayapur","Both Sexes",81089,73,653,9874,19784,17717,16129,10610,6249
50,1,14,1,"Udayapur","Male",53042,32,293,4733,11137,12151,12201,7921,4574
50,1,14,2,"Udayapur","Female",28047,41,360,5141,8647,5566,3928,2689,1675
50,2,15,0,"Saptari","Both Sexes",146854,67,685,16212,33699,33965,29122,20206,12898
50,2,15,1,"Saptari","Male",113713,53,483,10335,22893,27085,25053,17183,10628
50,2,15,2,"Saptari","Female",33141,14,202,5877,10806,6880,4069,3023,2270
50,2,16,0,"Siraha","Both Sexes",148571,186,1055,17728,36550,34597,27967,19914,10574
50,2,16,1,"Siraha","Male",102600,129,647,8572,20663,24650,23083,16368,8488
50,2,16,2,"Siraha","Female",45971,57,408,9156,15887,9947,4884,3546,2086
50,2,17,0,"Dhanusa","Both Sexes",177143,142,1375,21237,43390,40183,33003,25037,12776
50,2,17,1,"Dhanusa","Male",120822,105,788,9536,24178,28109,26963,20871,10272
50,2,17,2,"Dhanusa","Female",56321,37,587,11701,19212,12074,6040,4166,2504
50,2,18,0,"Mahottari","Both Sexes",137902,100,733,14782,32769,32391,26268,19890,10969
50,2,18,1,"Mahottari","Male",100735,79,441,7723,19888,24489,22280,16992,8843
50,2,18,2,"Mahottari","Female",37167,21,292,7059,12881,7902,3988,2898,2126
50,2,19,0,"Sarlahi","Both Sexes",164893,154,1028,18368,39538,40188,31744,21392,12481
50,2,19,1,"Sarlahi","Male",132987,108,726,12573,29411,33688,27946,18342,10193
50,2,19,2,"Sarlahi","Female",31906,46,302,5795,10127,6500,3798,3050,2288
50,2,20,0,"Rautahat","Both Sexes",137032,127,816,14560,32312,34554,27017,17096,10550
50,2,20,1,"Rautahat","Male",117184,94,638,11067,25938,30405,24838,15183,9021
50,2,20,2,"Rautahat","Female",19848,33,178,3493,6374,4149,2179,1913,1529
50,2,21,0,"Bara","Both Sexes",131240,108,751,11364,30315,33838,27274,17377,10213
50,2,21,1,"Bara","Male",115014,87,600,9111,25279,30393,25012,15616,8916
50,2,21,2,"Bara","Female",16226,21,151,2253,5036,3445,2262,1761,1297
50,2,22,0,"Parsa","Both Sexes",113080,102,802,9506,25510,29553,23537,15702,8368
50,2,22,1,"Parsa","Male",102402,79,668,7982,22447,27326,21975,14465,7460
50,2,22,2,"Parsa","Female",10678,23,134,1524,3063,2227,1562,1237,908
50,3,23,0,"Dolakha","Both Sexes",49538,37,456,5390,9454,9030,9825,8690,6656
50,3,23,1,"Dolakha","Male",30401,17,178,2638,5323,5631,6693,5872,4049
50,3,23,2,"Dolakha","Female",19137,20,278,2752,4131,3399,3132,2818,2607
50,3,24,0,"Sindhupalchok","Both Sexes",71773,100,508,6926,14062,14822,14639,11981,8735
50,3,24,1,"Sindhupalchok","Male",51660,56,253,4235,9692,11162,11312,8962,5988
50,3,24,2,"Sindhupalchok","Female",20113,44,255,2691,4370,3660,3327,3019,2747
50,3,25,0,"Rasuwa","Both Sexes",11140,9,67,1228,2493,2481,2051,1722,1089
50,3,25,1,"Rasuwa","Male",8837,4,36,899,1985,2043,1690,1362,818
50,3,25,2,"Rasuwa","Female",2303,5,31,329,508,438,361,360,271
50,3,26,0,"Dhading","Both Sexes",83642,78,594,9053,17588,16659,16474,13404,9792
50,3,26,1,"Dhading","Male",59038,37,264,5192,11304,12110,12806,10245,7080
50,3,26,2,"Dhading","Female",24604,41,330,3861,6284,4549,3668,3159,2712
50,3,27,0,"Nuwakot","Both Sexes",68679,51,397,6916,14212,14433,14067,11227,7376
50,3,27,1,"Nuwakot","Male",49405,24,203,4029,9437,10710,11074,8645,5283
50,3,27,2,"Nuwakot","Female",19274,27,194,2887,4775,3723,2993,2582,2093
50,3,28,0,"Kathmandu","Both Sexes",544867,385,9965,99290,134858,123041,92505,53514,31309
50,3,28,1,"Kathmandu","Male",362147,192,5841,55582,83635,86649,69626,39400,21222
50,3,28,2,"Kathmandu","Female",182720,193,4124,43708,51223,36392,22879,14114,10087
50,3,29,0,"Bhaktapur","Both Sexes",108503,61,1295,15901,25929,26648,20933,11366,6370
50,3,29,1,"Bhaktapur","Male",79250,38,763,9810,17846,20538,16936,8798,4521
50,3,29,2,"Bhaktapur","Female",29253,23,532,6091,8083,6110,3997,2568,1849
50,3,30,0,"Lalitpur","Both Sexes",140367,115,1703,19352,30483,33456,27787,16882,10589
50,3,30,1,"Lalitpur","Male",99592,66,1041,11896,20452,24657,21648,12602,7230
50,3,30,2,"Lalitpur","Female",40775,49,662,7456,10031,8799,6139,4280,3359
50,3,31,0,"Kavrepalanchok","Both Sexes",91428,47,512,8214,18049,20617,20086,14447,9456
50,3,31,1,"Kavrepalanchok","Male",68907,24,285,5484,13238,16180,16084,11000,6612
50,3,31,2,"Kavrepalanchok","Female",22521,23,227,2730,4811,4437,4002,3447,2844
50,3,32,0,"Ramechhap","Both Sexes",46489,31,231,3714,7858,8956,10254,8821,6624
50,3,32,1,"Ramechhap","Male",29665,10,103,1910,4511,5700,7128,6161,4142
50,3,32,2,"Ramechhap","Female",16824,21,128,1804,3347,3256,3126,2660,2482
50,3,33,0,"Sindhuli","Both Sexes",69364,55,697,8385,15895,15025,14156,9454,5697
50,3,33,1,"Sindhuli","Male",49358,28,329,4663,10336,11155,11357,7327,4163
50,3,33,2,"Sindhuli","Female",20006,27,368,3722,5559,3870,2799,2127,1534
50,3,34,0,"Makwanpur","Both Sexes",105792,86,968,12296,25092,24241,21038,14345,7726
50,3,34,1,"Makwanpur","Male",76420,41,552,7591,17159,18144,16414,10929,5590
50,3,34,2,"Makwanpur","Female",29372,45,416,4705,7933,6097,4624,3416,2136
50,3,35,0,"Chitawan","Both Sexes",179345,107,1778,21042,42389,42721,35336,22365,13607
50,3,35,1,"Chitawan","Male",117984,61,1026,10560,23159,28898,27071,17136,10073
50,3,35,2,"Chitawan","Female",61361,46,752,10482,19230,13823,8265,5229,3534
50,4,36,0,"Gorkha","Both Sexes",71826,38,495,6767,13062,13590,14830,13049,9995
50,4,36,1,"Gorkha","Male",45191,20,231,2894,6592,8588,10698,9381,6787
50,4,36,2,"Gorkha","Female",26635,18,264,3873,6470,5002,4132,3668,3208
50,4,37,0,"Manang","Both Sexes",1572,0,2,155,365,340,316,237,157
50,4,37,1,"Manang","Male",1054,0,1,93,265,238,223,145,89
50,4,37,2,"Manang","Female",518,0,1,62,100,102,93,92,68
50,4,38,0,"Mustang","Both Sexes",3674,3,17,385,781,823,767,531,367
50,4,38,1,"Mustang","Male",2648,2,11,266,579,611,567,373,239
50,4,38,2,"Mustang","Female",1026,1,6,119,202,212,200,158,128
50,4,39,0,"Myagdi","Both Sexes",28830,55,442,3511,5840,5551,5500,4292,3639
50,4,39,1,"Myagdi","Male",17281,27,174,1458,3033,3442,3860,2978,2309
50,4,39,2,"Myagdi","Female",11549,28,268,2053,2807,2109,1640,1314,1330
50,4,40,0,"Kaski","Both Sexes",160651,85,2091,22202,38222,36493,28413,20022,13123
50,4,40,1,"Kaski","Male",94821,43,1066,10273,19021,22213,19800,13925,8480
50,4,40,2,"Kaski","Female",65830,42,1025,11929,19201,14280,8613,6097,4643
50,4,41,0,"Lamjung","Both Sexes",44170,45,309,4224,8472,8283,9426,7840,5571
50,4,41,1,"Lamjung","Male",24897,18,136,1321,3477,4675,6362,5261,3647
50,4,41,2,"Lamjung","Female",19273,27,173,2903,4995,3608,3064,2579,1924
50,4,42,0,"Tanahu","Both Sexes",88583,70,851,10595,20120,18619,16843,13095,8390
50,4,42,1,"Tanahu","Male",48101,28,323,3357,7981,10224,11519,9089,5580
50,4,42,2,"Tanahu","Female",40482,42,528,7238,12139,8395,5324,4006,2810
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",93925,91,899,11137,23520,21872,17568,11668,7170
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",56239,49,399,4224,10984,13781,13006,8567,5229
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",37686,42,500,6913,12536,8091,4562,3101,1941
50,4,44,0,"Syangja","Both Sexes",68959,23,305,4801,11620,13611,14521,13439,10639
50,4,44,1,"Syangja","Male",40616,13,129,1617,5042,7734,10001,9136,6944
50,4,44,2,"Syangja","Female",28343,10,176,3184,6578,5877,4520,4303,3695
50,4,45,0,"Parbat","Both Sexes",36137,17,226,3400,6774,7071,7343,6374,4932
50,4,45,1,"Parbat","Male",22380,8,88,1329,3408,4453,5300,4455,3339
50,4,45,2,"Parbat","Female",13757,9,138,2071,3366,2618,2043,1919,1593
50,4,46,0,"Baglung","Both Sexes",64153,50,666,7543,13077,12610,12135,10353,7719
50,4,46,1,"Baglung","Male",37746,23,238,2748,6291,7447,8593,7173,5233
50,4,46,2,"Baglung","Female",26407,27,428,4795,6786,5163,3542,3180,2486
50,5,47,0,"Rukum (East)","Both Sexes",12886,9,149,2054,3039,2616,2435,1689,895
50,5,47,1,"Rukum (East)","Male",8764,2,73,1220,2025,1801,1816,1220,607
50,5,47,2,"Rukum (East)","Female",4122,7,76,834,1014,815,619,469,288
50,5,48,0,"Rolpa","Both Sexes",52221,161,912,8478,12621,10687,9369,6407,3586
50,5,48,1,"Rolpa","Male",30378,73,383,3621,6332,6475,6542,4557,2395
50,5,48,2,"Rolpa","Female",21843,88,529,4857,6289,4212,2827,1850,1191
50,5,49,0,"Pyuthan","Both Sexes",56203,95,622,8101,13196,11257,10100,7957,4875
50,5,49,1,"Pyuthan","Male",29426,38,182,2439,5488,6062,6632,5348,3237
50,5,49,2,"Pyuthan","Female",26777,57,440,5662,7708,5195,3468,2609,1638
50,5,50,0,"Gulmi","Both Sexes",66125,62,529,6619,12641,12648,13379,11710,8537
50,5,50,1,"Gulmi","Male",36560,26,184,1994,5083,6739,8788,8016,5730
50,5,50,2,"Gulmi","Female",29565,36,345,4625,7558,5909,4591,3694,2807
50,5,51,0,"Arghakhanchi","Both Sexes",48465,35,386,5318,9819,9535,9556,8115,5701
50,5,51,1,"Arghakhanchi","Male",27160,8,130,1510,4121,5194,6507,5698,3992
50,5,51,2,"Arghakhanchi","Female",21305,27,256,3808,5698,4341,3049,2417,1709
50,5,52,0,"Palpa","Both Sexes",65049,61,769,7364,14339,13721,12982,9700,6113
50,5,52,1,"Palpa","Male",35478,25,298,2343,6006,7561,8587,6606,4052
