area,prov,dist,sex,area_name,sexname,rowtotal,a_student,b_hhldwork,c_hhldchore,d_aged,e_disable,f_pension,g_soclwork,h_other,i_notstd
50,4,39,1,"Myagdi","Male",20391,8278,2630,976,2091,745,750,100,4634,187
50,4,39,2,"Myagdi","Female",25174,8155,6170,2051,3378,777,384,48,4008,203
50,4,40,0,"Kaski","Both Sexes",317440,106874,55812,20897,25728,6567,13015,1348,81777,5422
50,4,40,1,"Kaski","Male",128955,55145,6675,5040,8827,3163,9743,938,36786,2638
50,4,40,2,"Kaski","Female",188485,51729,49137,15857,16901,3404,3272,410,44991,2784
50,4,41,0,"Lamjung","Both Sexes",81631,24537,17641,5498,9747,2115,3364,314,17165,1250
50,4,41,1,"Lamjung","Male",34719,12416,3603,2199,3907,1081,2417,219,8291,586
50,4,41,2,"Lamjung","Female",46912,12121,14038,3299,5840,1034,947,95,8874,664
50,4,42,0,"Tanahu","Both Sexes",143410,49931,27219,8424,14479,3719,5379,493,31893,1873
50,4,42,1,"Tanahu","Male",58757,25151,3503,2828,5345,1888,3696,338,15027,981
50,4,42,2,"Tanahu","Female",84653,24780,23716,5596,9134,1831,1683,155,16866,892
50,4,43,0,"Nawalparasi (Bardaghat Susta East)","Both Sexes",178336,60843,36277,11295,16716,4690,3524,725,42024,2242
50,4,43,1,"Nawalparasi (Bardaghat Susta East)","Male",70803,30664,4770,3443,6725,2388,2337,532,18879,1065
50,4,43,2,"Nawalparasi (Bardaghat Susta East)","Female",107533,30179,31507,7852,9991,2302,1187,193,23145,1177
50,4,44,0,"Syangja","Both Sexes",127375,40081,29137,7925,15117,3350,4951,489,24885,1440
50,4,44,1,"Syangja","Male",53700,20235,6214,3171,5778,1688,3431,362,12162,659
50,4,44,2,"Syangja","Female",73675,19846,22923,4754,9339,1662,1520,127,12723,781
50,4,45,0,"Parbat","Both Sexes",67577,21394,15040,4213,7643,2230,1935,310,13991,821
50,4,45,1,"Parbat","Male",28539,10979,3018,1642,2984,1034,1419,214,6851,398
50,4,45,2,"Parbat","Female",39038,10415,12022,2571,4659,1196,516,96,7140,423
50,4,46,0,"Baglung","Both Sexes",137624,43212,35902,11028,13036,3614,3328,427,26001,1076
50,4,46,1,"Baglung","Male",57927,21730,8756,4549,5277,1790,2260,333,12692,540
50,4,46,2,"Baglung","Female",79697,21482,27146,6479,7759,1824,1068,94,13309,536
50,5,47,0,"Rukum (East)","Both Sexes",24427,10053,5033,2563,1997,514,207,57,3730,273
50,5,47,1,"Rukum (East)","Male",11042,5020,1567,1139,828,256,109,37,1917,169
50,5,47,2,"Rukum (East)","Female",13385,5033,3466,1424,1169,258,98,20,1813,104
50,5,48,0,"Rolpa","Both Sexes",117557,42464,30012,10201,9464,2215,853,214,21775,359
50,5,48,1,"Rolpa","Male",50572,20597,9002,4876,4054,1166,428,143,10136,170
50,5,48,2,"Rolpa","Female",66985,21867,21010,5325,5410,1049,425,71,11639,189
