area,prov,dist,sex,area_name,sexname,rowtotal,ca_earlychildhood,ca_primary,ca_lowrsecndry,ca_upprsecndry,ca_others,ca_notstd,neverattnd,cna_earlychildhood,cna_primary,cna_lowrsecndry,cna_upprsecndry,cna_others,cna_notstd,ans_earlychildhood,ans_primary,ans_lowrsecndry,ans_upprsecndry,ans_others,ans_notstd
50,6,66,0,"Rukum (West)","Total",60509,2989,22411,13907,7301,30,239,1829,24,2600,3970,4973,55,45,0,8,2,1,2,123
50,6,66,1,"Rukum (West)","Male",30028,1618,11484,6879,3703,13,123,804,12,1307,1902,2072,22,23,0,4,2,1,1,58
50,6,66,2,"Rukum (West)","Female",30481,1371,10927,7028,3598,17,116,1025,12,1293,2068,2901,33,22,0,4,0,0,1,65
50,6,67,0,"Salyan","Total",88029,4016,29044,19483,9660,45,336,1993,58,4330,8944,9808,44,95,0,20,5,2,0,146
50,6,67,1,"Salyan","Male",43739,2179,14851,9797,4793,22,163,945,33,2313,4529,3971,15,38,0,9,2,1,0,78
50,6,67,2,"Salyan","Female",44290,1837,14193,9686,4867,23,173,1048,25,2017,4415,5837,29,57,0,11,3,1,0,68
50,6,68,0,"Surkhet","Total",142121,10041,50053,32128,13470,102,437,2586,120,7501,12827,12259,103,210,3,40,13,9,0,219
50,6,68,1,"Surkhet","Male",71226,5552,26152,16291,6860,49,202,1181,53,3811,5922,4875,47,84,3,14,8,4,0,118
50,6,68,2,"Surkhet","Female",70895,4489,23901,15837,6610,53,235,1405,67,3690,6905,7384,56,126,0,26,5,5,0,101
50,7,69,0,"Bajura","Total",55480,3036,20932,12629,6416,40,246,3120,48,2410,2640,3709,100,52,0,15,1,2,0,84
50,7,69,1,"Bajura","Male",26925,1598,10594,6191,3138,18,114,1247,21,1119,1131,1646,45,18,0,7,0,1,0,37
50,7,69,2,"Bajura","Female",28555,1438,10338,6438,3278,22,132,1873,27,1291,1509,2063,55,34,0,8,1,1,0,47
50,7,70,0,"Bajhang","Total",77458,4133,30199,17410,8701,49,225,4680,66,3662,3697,4442,69,49,0,12,2,4,1,57
50,7,70,1,"Bajhang","Male",37046,2193,15130,8611,4199,13,106,1608,27,1524,1570,1975,23,25,0,4,2,2,1,33
50,7,70,2,"Bajhang","Female",40412,1940,15069,8799,4502,36,119,3072,39,2138,2127,2467,46,24,0,8,0,2,0,24
50,7,71,0,"Darchula","Total",46952,2918,16935,11105,5342,18,108,1477,46,2072,2900,3887,60,32,0,8,2,0,0,42
50,7,71,1,"Darchula","Male",22823,1515,8556,5487,2754,8,50,625,20,875,1208,1671,18,10,0,2,1,0,0,23
50,7,71,2,"Darchula","Female",24129,1403,8379,5618,2588,10,58,852,26,1197,1692,2216,42,22,0,6,1,0,0,19
50,7,72,0,"Baitadi","Total",88486,4136,33344,20894,11105,48,300,3041,58,3592,4262,7386,98,78,1,24,1,3,0,115
50,7,72,1,"Baitadi","Male",42414,2230,16797,10441,5452,14,160,1144,24,1391,1687,2947,32,27,0,11,0,2,0,55
50,7,72,2,"Baitadi","Female",46072,1906,16547,10453,5653,34,140,1897,34,2201,2575,4439,66,51,1,13,1,1,0,60
50,7,73,0,"Dadeldhura","Total",50895,2939,18376,11598,5401,13,55,1257,35,2696,4228,4154,58,28,0,10,0,2,0,45
50,7,73,1,"Dadeldhura","Male",24695,1607,9501,5851,2635,2,22,513,17,1118,1734,1630,23,15,0,5,0,1,0,21
50,7,73,2,"Dadeldhura","Female",26200,1332,8875,5747,2766,11,33,744,18,1578,2494,2524,35,13,0,5,0,1,0,24
50,7,74,0,"Doti","Total",85411,5371,32584,17820,7743,42,213,5580,87,5814,5507,4407,101,68,1,11,1,1,0,60
50,7,74,1,"Doti","Male",40246,2930,16473,8822,3748,14,109,1937,47,2196,2218,1660,28,26,0,7,1,1,0,29
50,7,74,2,"Doti","Female",45165,2441,16111,8998,3995,28,104,3643,40,3618,3289,2747,73,42,1,4,0,0,0,31
50,7,75,0,"Achham","Total",96356,5767,37807,21241,9502,105,147,4735,107,5350,5199,5930,225,92,0,24,3,2,0,120
50,7,75,1,"Achham","Male",45481,3005,18762,10367,4469,25,60,1729,46,2288,2189,2371,67,39,0,9,3,1,0,51
50,7,75,2,"Achham","Female",50875,2762,19045,10874,5033,80,87,3006,61,3062,3010,3559,158,53,0,15,0,1,0,69
50,7,76,0,"Kailali","Total",305052,27058,99488,63839,31535,186,828,7930,418,17243,25821,29403,535,357,3,80,10,10,1,307
50,7,76,1,"Kailali","Male",152543,14984,52058,31791,15258,68,420,3481,213,8757,12755,12188,216,150,0,33,5,5,0,161
50,7,76,2,"Kailali","Female",152509,12074,47430,32048,16277,118,408,4449,205,8486,13066,17215,319,207,3,47,5,5,1,146
50,7,77,0,"Kanchanpur","Total",168998,15137,56265,37163,16802,89,424,3815,177,8980,13185,16328,201,279,4,33,2,7,0,107
50,7,77,1,"Kanchanpur","Male",84165,8522,29977,18552,8135,28,205,1644,82,4417,6137,6205,68,111,2,17,0,3,0,60
50,7,77,2,"Kanchanpur","Female",84833,6615,26288,18611,8667,61,219,2171,95,4563,7048,10123,133,168,2,16,2,4,0,47
