area,prov,dist,chldtype,chldsex,area_name,typename,chldsexname,total,a_15to19,b_20to24,c_25to29,d_30to34,e_35to39,f_40to44,g_45to49
40,2,0,3,1,"Madhesh","Children Dead","Male",45346,343,3023,5956,7608,10246,9102,9068
40,2,0,3,2,"Madhesh","Children Dead","Female",34718,243,2147,4126,5505,7861,7332,7504
40,3,0,1,0,"Bagmati","Children Ever Born","Total",2262373,13631,120594,292027,422595,494255,492087,427184
40,3,0,1,1,"Bagmati","Children Ever Born","Male",1189410,7031,62428,152682,223043,260727,259042,224457
40,3,0,1,2,"Bagmati","Children Ever Born","Female",1072963,6600,58166,139345,199552,233528,233045,202727
40,3,0,2,0,"Bagmati","Children Still Alive","Total",2206555,13415,118820,287606,415208,483437,477579,410490
40,3,0,2,1,"Bagmati","Children Still Alive","Male",1156778,6894,61370,150011,218662,254343,250610,214888
40,3,0,2,2,"Bagmati","Children Still Alive","Female",1049777,6521,57450,137595,196546,229094,226969,195602
40,3,0,3,0,"Bagmati","Children Dead","Total",55818,216,1774,4421,7387,10818,14508,16694
40,3,0,3,1,"Bagmati","Children Dead","Male",32632,137,1058,2671,4381,6384,8432,9569
40,3,0,3,2,"Bagmati","Children Dead","Female",23186,79,716,1750,3006,4434,6076,7125
40,4,0,1,0,"Gandaki","Children Ever Born","Total",995815,8311,62648,141791,184437,207041,205598,185989
40,4,0,1,1,"Gandaki","Children Ever Born","Male",523371,4391,32556,74676,97359,109371,107677,97341
40,4,0,1,2,"Gandaki","Children Ever Born","Female",472444,3920,30092,67115,87078,97670,97921,88648
40,4,0,2,0,"Gandaki","Children Still Alive","Total",968670,8151,61638,139309,180861,201548,198851,178312
40,4,0,2,1,"Gandaki","Children Still Alive","Male",507470,4299,31964,73193,95241,106090,103747,92936
40,4,0,2,2,"Gandaki","Children Still Alive","Female",461200,3852,29674,66116,85620,95458,95104,85376
40,4,0,3,0,"Gandaki","Children Dead","Total",27145,160,1010,2482,3576,5493,6747,7677
40,4,0,3,1,"Gandaki","Children Dead","Male",15901,92,592,1483,2118,3281,3930,4405
40,4,0,3,2,"Gandaki","Children Dead","Female",11244,68,418,999,1458,2212,2817,3272
40,5,0,1,0,"Lumbini","Children Ever Born","Total",2332993,18018,170217,356677,448054,501292,455565,383170
40,5,0,1,1,"Lumbini","Children Ever Born","Male",1224032,9422,88071,186260,234042,262709,239916,203612
40,5,0,1,2,"Lumbini","Children Ever Born","Female",1108961,8596,82146,170417,214012,238583,215649,179558
40,5,0,2,0,"Lumbini","Children Still Alive","Total",2245103,17660,166625,348312,434925,482385,433955,361241
40,5,0,2,1,"Lumbini","Children Still Alive","Male",1173451,9203,85950,181356,226494,251778,227488,191182
40,5,0,2,2,"Lumbini","Children Still Alive","Female",1071652,8457,80675,166956,208431,230607,206467,170059
40,5,0,3,0,"Lumbini","Children Dead","Total",87890,358,3592,8365,13129,18907,21610,21929
40,5,0,3,1,"Lumbini","Children Dead","Male",50581,219,2121,4904,7548,10931,12428,12430
40,5,0,3,2,"Lumbini","Children Dead","Female",37309,139,1471,3461,5581,7976,9182,9499
40,6,0,1,0,"Karnali","Children Ever Born","Total",852322,11993,85730,129766,152335,167110,161612,143776
40,6,0,1,1,"Karnali","Children Ever Born","Male",444699,6388,44744,67867,79492,86964,84002,75242
40,6,0,1,2,"Karnali","Children Ever Born","Female",407623,5605,40986,61899,72843,80146,77610,68534
40,6,0,2,0,"Karnali","Children Still Alive","Total",801248,11629,83107,125023,144983,157092,149076,130338
40,6,0,2,1,"Karnali","Children Still Alive","Male",415496,6155,43217,65093,75254,81136,76940,67701
40,6,0,2,2,"Karnali","Children Still Alive","Female",385752,5474,39890,59930,69729,75956,72136,62637
40,6,0,3,0,"Karnali","Children Dead","Total",51074,364,2623,4743,7352,10018,12536,13438
40,6,0,3,1,"Karnali","Children Dead","Male",29203,233,1527,2774,4238,5828,7062,7541
40,6,0,3,2,"Karnali","Children Dead","Female",21871,131,1096,1969,3114,4190,5474,5897
40,7,0,1,0,"Sudur Paschim","Children Ever Born","Total",1304520,9969,104822,191127,240904,272409,259503,225786
40,7,0,1,1,"Sudur Paschim","Children Ever Born","Male",685131,5272,54981,100926,126503,142132,135865,119452
40,7,0,1,2,"Sudur Paschim","Children Ever Born","Female",619389,4697,49841,90201,114401,130277,123638,106334
40,7,0,2,0,"Sudur Paschim","Children Still Alive","Total",1247009,9732,102686,186300,233051,260492,244739,210009
40,7,0,2,1,"Sudur Paschim","Children Still Alive","Male",652728,5134,53741,98121,122002,135371,127701,110658
40,7,0,2,2,"Sudur Paschim","Children Still Alive","Female",594281,4598,48945,88179,111049,125121,117038,99351
40,7,0,3,0,"Sudur Paschim","Children Dead","Total",57511,237,2136,4827,7853,11917,14764,15777
40,7,0,3,1,"Sudur Paschim","Children Dead","Male",32403,138,1240,2805,4501,6761,8164,8794
40,7,0,3,2,"Sudur Paschim","Children Dead","Female",25108,99,896,2022,3352,5156,6600,6983
50,1,1,1,0,"Taplejung","Children Ever Born","Total",47970,706,3994,6879,8335,9129,9616,9311
50,1,1,1,1,"Taplejung","Children Ever Born","Male",24823,351,2096,3533,4241,4672,5010,4920
50,1,1,1,2,"Taplejung","Children Ever Born","Female",23147,355,1898,3346,4094,4457,4606,4391
50,1,1,2,0,"Taplejung","Children Still Alive","Total",46149,691,3913,6709,8085,8789,9175,8787
50,1,1,2,1,"Taplejung","Children Still Alive","Male",23722,342,2042,3432,4075,4476,4737,4618
50,1,1,2,2,"Taplejung","Children Still Alive","Female",22427,349,1871,3277,4010,4313,4438,4169
50,1,1,3,0,"Taplejung","Children Dead","Total",1821,15,81,170,250,340,441,524
50,1,1,3,1,"Taplejung","Children Dead","Male",1101,9,54,101,166,196,273,302
50,1,1,3,2,"Taplejung","Children Dead","Female",720,6,27,69,84,144,168,222
50,1,2,1,0,"Sankhuwasabha","Children Ever Born","Total",64570,802,4891,9204,11412,13101,13276,11884
50,1,2,1,1,"Sankhuwasabha","Children Ever Born","Male",33459,419,2561,4752,5879,6767,6868,6213
50,1,2,1,2,"Sankhuwasabha","Children Ever Born","Female",31111,383,2330,4452,5533,6334,6408,5671
50,1,2,2,0,"Sankhuwasabha","Children Still Alive","Total",61935,781,4779,8940,11024,12555,12631,11225
50,1,2,2,1,"Sankhuwasabha","Children Still Alive","Male",31948,409,2484,4599,5661,6438,6533,5824
50,1,2,2,2,"Sankhuwasabha","Children Still Alive","Female",29987,372,2295,4341,5363,6117,6098,5401
50,1,2,3,0,"Sankhuwasabha","Children Dead","Total",2635,21,112,264,388,546,645,659
50,1,2,3,1,"Sankhuwasabha","Children Dead","Male",1511,10,77,153,218,329,335,389
50,1,2,3,2,"Sankhuwasabha","Children Dead","Female",1124,11,35,111,170,217,310,270
50,1,3,1,0,"Solukhumbu","Children Ever Born","Total",40671,376,2820,5417,6821,8486,8940,7811
50,1,3,1,1,"Solukhumbu","Children Ever Born","Male",20942,204,1448,2756,3509,4265,4676,4084
50,1,3,1,2,"Solukhumbu","Children Ever Born","Female",19729,172,1372,2661,3312,4221,4264,3727
50,1,3,2,0,"Solukhumbu","Children Still Alive","Total",38971,370,2765,5304,6624,8168,8406,7334
50,1,3,2,1,"Solukhumbu","Children Still Alive","Male",19930,200,1412,2692,3382,4077,4358,3809
50,1,3,2,2,"Solukhumbu","Children Still Alive","Female",19041,170,1353,2612,3242,4091,4048,3525
50,1,3,3,0,"Solukhumbu","Children Dead","Total",1700,6,55,113,197,318,534,477
50,1,3,3,1,"Solukhumbu","Children Dead","Male",1012,4,36,64,127,188,318,275
50,1,3,3,2,"Solukhumbu","Children Dead","Female",688,2,19,49,70,130,216,202
50,1,4,1,0,"Okhaldhunga","Children Ever Born","Total",53335,480,3946,7326,9051,10544,11295,10693
50,1,4,1,1,"Okhaldhunga","Children Ever Born","Male",27275,234,2059,3704,4570,5322,5801,5585
50,1,4,1,2,"Okhaldhunga","Children Ever Born","Female",26060,246,1887,3622,4481,5222,5494,5108
50,1,4,2,0,"Okhaldhunga","Children Still Alive","Total",52068,474,3884,7219,8909,10307,10990,10285
50,1,4,2,1,"Okhaldhunga","Children Still Alive","Male",26510,230,2015,3633,4490,5175,5623,5344
50,1,4,2,2,"Okhaldhunga","Children Still Alive","Female",25558,244,1869,3586,4419,5132,5367,4941
50,1,4,3,0,"Okhaldhunga","Children Dead","Total",1267,6,62,107,142,237,305,408
50,1,4,3,1,"Okhaldhunga","Children Dead","Male",765,4,44,71,80,147,178,241
50,1,4,3,2,"Okhaldhunga","Children Dead","Female",502,2,18,36,62,90,127,167
50,1,5,1,0,"Khotang","Children Ever Born","Total",70185,988,5532,9732,11048,13490,14606,14789
50,1,5,1,1,"Khotang","Children Ever Born","Male",36155,543,2916,4949,5621,6848,7550,7728
50,1,5,1,2,"Khotang","Children Ever Born","Female",34030,445,2616,4783,5427,6642,7056,7061
50,1,5,2,0,"Khotang","Children Still Alive","Total",67794,968,5438,9516,10769,13052,14034,14017
50,1,5,2,1,"Khotang","Children Still Alive","Male",34748,532,2863,4825,5462,6596,7203,7267
50,1,5,2,2,"Khotang","Children Still Alive","Female",33046,436,2575,4691,5307,6456,6831,6750
50,1,5,3,0,"Khotang","Children Dead","Total",2391,20,94,216,279,438,572,772
50,1,5,3,1,"Khotang","Children Dead","Male",1407,11,53,124,159,252,347,461
