area,prov,dist,sex,area_name,sexname,rowtotal,a_humnty,b_mgm,c_edu,d_science,e_medicine,f_enginring,g_law,h_agri,i_forstry,j_vetnry,k_computr,l_others,m_notstd
50,2,21,1,"Bara","Male",33733,2762,13409,9179,2652,1200,1288,198,248,277,90,258,643,1529
50,2,21,2,"Bara","Female",20858,1517,7373,8628,841,772,122,64,115,149,23,85,368,801
50,2,22,0,"Parsa","Total",59732,4443,25407,14968,5830,2549,2242,431,250,262,89,408,719,2134
50,2,22,1,"Parsa","Male",38256,2690,16997,7886,4238,1628,1984,316,190,183,74,302,438,1330
50,2,22,2,"Parsa","Female",21476,1753,8410,7082,1592,921,258,115,60,79,15,106,281,804
50,3,23,0,"Dolakha","Total",19842,1889,5297,8795,853,660,622,89,284,127,98,193,314,621
50,3,23,1,"Dolakha","Male",10356,1073,2958,4086,585,206,536,62,121,62,63,134,181,289
50,3,23,2,"Dolakha","Female",9486,816,2339,4709,268,454,86,27,163,65,35,59,133,332
50,3,24,0,"Sindhupalchok","Total",25112,3444,6838,10833,924,525,476,118,157,104,100,193,293,1107
50,3,24,1,"Sindhupalchok","Male",12740,1921,3643,4841,611,189,397,82,78,55,59,119,173,572
50,3,24,2,"Sindhupalchok","Female",12372,1523,3195,5992,313,336,79,36,79,49,41,74,120,535
50,3,25,0,"Rasuwa","Total",5420,408,1862,2166,233,154,107,21,29,13,22,38,138,229
50,3,25,1,"Rasuwa","Male",3000,266,1045,1087,164,50,95,17,17,8,19,26,83,123
50,3,25,2,"Rasuwa","Female",2420,142,817,1079,69,104,12,4,12,5,3,12,55,106
50,3,26,0,"Dhading","Total",35656,3689,12576,13208,1359,928,549,190,220,136,93,270,547,1891
50,3,26,1,"Dhading","Male",17545,1985,6695,5326,929,344,470,120,103,78,65,184,306,940
50,3,26,2,"Dhading","Female",18111,1704,5881,7882,430,584,79,70,117,58,28,86,241,951
50,3,27,0,"Nuwakot","Total",27764,2671,11127,9882,1055,718,397,86,117,144,77,238,238,1014
50,3,27,1,"Nuwakot","Male",14063,1567,6073,4027,704,253,340,58,59,66,59,173,148,536
50,3,27,2,"Nuwakot","Female",13701,1104,5054,5855,351,465,57,28,58,78,18,65,90,478
50,3,28,0,"Kathmandu","Total",713027,109705,330592,86460,67288,34711,29011,9449,2259,784,619,14893,16029,11227
50,3,28,1,"Kathmandu","Male",383244,51929,184670,33789,41856,11157,24089,6347,1363,517,387,11440,9084,6616
50,3,28,2,"Kathmandu","Female",329783,57776,145922,52671,25432,23554,4922,3102,896,267,232,3453,6945,4611
50,3,29,0,"Bhaktapur","Total",129995,21808,54710,17684,12404,6891,6480,2027,413,342,101,2536,2225,2374
50,3,29,1,"Bhaktapur","Male",69848,11190,30083,7181,7683,2068,5270,1360,237,200,70,1979,1236,1291
50,3,29,2,"Bhaktapur","Female",60147,10618,24627,10503,4721,4823,1210,667,176,142,31,557,989,1083
50,3,30,0,"Lalitpur","Total",177751,29283,79742,18693,15774,8783,9164,1825,682,444,223,3819,4100,5219
50,3,30,1,"Lalitpur","Male",94967,13696,43509,7635,9561,2989,7491,1184,449,268,140,2959,2262,2824
50,3,30,2,"Lalitpur","Female",82784,15587,36233,11058,6213,5794,1673,641,233,176,83,860,1838,2395
50,3,31,0,"Kavrepalanchok","Total",55477,6052,23341,14238,3858,1883,1329,395,252,155,112,861,704,2297
50,3,31,1,"Kavrepalanchok","Male",28623,3269,12688,5921,2285,624,1054,233,147,79,84,613,430,1196
50,3,31,2,"Kavrepalanchok","Female",26854,2783,10653,8317,1573,1259,275,162,105,76,28,248,274,1101
50,3,32,0,"Ramechhap","Total",16200,2261,3095,7768,554,472,357,87,120,123,66,103,310,884
50,3,32,1,"Ramechhap","Male",8053,1231,1654,3419,375,175,282,69,55,69,35,74,169,446
50,3,32,2,"Ramechhap","Female",8147,1030,1441,4349,179,297,75,18,65,54,31,29,141,438
50,3,33,0,"Sindhuli","Total",30543,2224,5805,17586,1159,747,556,152,364,193,137,136,397,1087
50,3,33,1,"Sindhuli","Male",15628,1280,3246,8244,782,289,448,104,170,108,100,93,210,554
50,3,33,2,"Sindhuli","Female",14915,944,2559,9342,377,458,108,48,194,85,37,43,187,533
50,3,34,0,"Makwanpur","Total",55201,7599,22143,16278,2973,1435,1207,287,320,361,185,435,737,1241
50,3,34,1,"Makwanpur","Male",28224,4021,12321,6366,1916,436,1035,160,149,240,135,318,457,670
50,3,34,2,"Makwanpur","Female",26977,3578,9822,9912,1057,999,172,127,171,121,50,117,280,571
50,3,35,0,"Chitawan","Total",136340,13049,57913,33150,10654,8370,3268,519,1293,489,563,1647,1923,3502
50,3,35,1,"Chitawan","Male",69400,6963,31500,12566,6661,2795,2808,413,775,270,418,1239,1190,1802
50,3,35,2,"Chitawan","Female",66940,6086,26413,20584,3993,5575,460,106,518,219,145,408,733,1700
50,4,36,0,"Gorkha","Total",27015,3014,7253,11606,1130,808,609,86,233,95,105,201,379,1496
50,4,36,1,"Gorkha","Male",13512,1743,3893,4893,729,316,525,67,124,52,75,148,209,738
50,4,36,2,"Gorkha","Female",13503,1271,3360,6713,401,492,84,19,109,43,30,53,170,758
50,4,37,0,"Manang","Total",1215,106,331,597,43,47,26,4,5,4,7,18,15,12
